FLUXO;PERIODO;NIF;REF;NC;PAIS;PORIGEM;REGIAO;CODENT;NATTRA;MODTRA;AERPOR;MASSA;UNSUP;VALFAC;ADQNIF;ERRO
INTRA-CH;202508;513881387;JE-384914;87082910;NL;NL;10;EXW;11;3;;3;2;786;;
INTRA-CH;202508;513881387;R6601-9;85111000;DE;DE;10;EXW;11;3;;0,1;6;125;;
INTRA-CH;202508;513881387;SILZKBR8D8S;85111000;DE;DE;10;EXW;11;3;;0,1;367;3196;;
INTRA-CH;202508;513881387;DILKAR8R9HS;85111000;DE;DE;10;EXW;11;3;;0,1;12;148;;
INTRA-CH;202508;513881387;E-BM/T/12;87089235;SI;SI;10;EXW;11;3;;11,8;1;1467;;
INTRA-CH;202508;513881387;S-TY/T/1H;87089235;SI;SI;10;EXW;11;3;;20;1;2448;;
INTRA-CH;202508;513881387;SBW0261-4P-EB;87083091;ES;ES;10;EXW;11;3;;0,5;2;101;;
INTRA-CH;202508;513881387;SVW0620-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;3;123;;
INTRA-CH;202508;513881387;SAU0631-4C-RD;87083091;ES;ES;10;EXW;11;3;;0,5;1;63;;
INTRA-CH;202508;513881387;SBW1170-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;50;;
INTRA-CH;202508;513881387;SME0455-4P-RD;87083091;ES;ES;10;EXW;11;3;;0,5;1;41;;
INTRA-CH;202508;513881387;SAU0631-4C-RD;87083091;ES;ES;10;EXW;11;3;;0,5;1;63;;
INTRA-CH;202508;513881387;SSE0433-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;50;;
INTRA-CH;202508;513881387;SRN0616-4P-RD;87083091;ES;ES;10;EXW;11;3;;0,5;1;41;;
INTRA-CH;202508;513881387;SAU0531-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;61;;
INTRA-CH;202508;513881387;SSE0433-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;101;;
INTRA-CH;202508;513881387;SMT0710-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,6;1;50;;
INTRA-CH;202508;513881387;SVW0630-4P-RD;87083091;ES;ES;10;EXW;11;3;;0,5;1;50;;
INTRA-CH;202508;513881387;SRN0616-4P-RD;87083091;ES;ES;10;EXW;11;3;;0,5;1;41;;
