ORIGIN;REFERENCE;ATTRIBUTE;STOCK;SOLD
CROSS;FMFSITAT-Z;FMFSITAT-POL;3;5
CROSS;FMFSITAT-Z;FMFSITAT-BLK;-1;27
CROSS;FMBGFK2;;2;5
CROSS;FMDVRMA-Z;FMDVRMA-RED;2;4
CROSS;FMDVRMA-Z;FMDVRMA-BLA;0;8
ASM;FMDVRMA-Z;FMDVRMA-BLU;1;1
CROSS;FMDV14T-POL;;2;9
CROSS;FMDVMK7A-Z;FMDVMK7A-BLA;1;23
CROSS;FMDVMK7A-Z;FMDVMK7A-ALL;3;9
CROSS;FMDVK04D;;1;8
CROSS;FMDVSUB01;;1;4
CROSS;FMDVATSI-POL;;1;5
CROSS;FMDV004-POL;;0;13
ASM;FMRLH-Z;;;1
CROSS;FMRLH-Z;FMRLH-BLA;0;11
ASM;FMRLH-Z;FMRLH-RED;-1;10
CROSS;FMDV008-Z;FMDV008-BLA;0;13
ASM;FMDV008-Z;FMDV008-MAT;6;1
CROSS;FMMK5CT-Z;FMMK5CTC;2;13
ASM;FMMK5CT-Z;FMMK5CT;4;1
ASM;FMWRX301-ALL;;2;4
CROSS;FMFK054-Z;FMFK054-BLA;1;6
CROSS;FMFK054-Z;FMFK054-BLU;1;3
ASM;FMFK054-Z;FMFK054-RED;1;1
CROSS;FMKT010-Z;FMKT010-RED;0;4
CROSS;FMKT010-Z;FMKT010-BLA;3;6
CROSS;FMKT010-Z;FMKT010-BLU;1;3
CROSS;FMDVK04SA-SIL;;8;7
ASM;FMIND2RCT-Z;FMIND2RCT-BLA;1;1
CROSS;FMDVHFS1-Z;FMDVHFS1-BLA;0;2
ASM;FMDVC200A-Z;FMDVC200A-RED;1;1
CROSS;FMDVC200A-Z;FMDVC200A-BLA;0;2
CROSS;FMDVA45A;;0;9
CROSS;FMDVST180A;;2;2
CROSS;FMDV14TSI-POL;;3;2
CROSS;FMPCVD1;;6;33
ASM;FMINTMRS;;1;1
ASM;FMRS250IND-Z;FMRS250IND-RED;0;2
CROSS;FMRS250IND-Z;FMRS250IND-BLA;1;3
ASM;FMCCHMK5-Z;FMCCHMK5-BLU;0;5
ASM;FMCCHMK5-Z;FMCCHMK5-RED;-1;12
ASM;FMCCHMK5-Z;FMCCHMK5-BLA;0;5
CROSS;FMMK5FMIC-BLA;;6;11
CROSS;FMINT32;;7;14
ASM;FMINDST180;;3;2
ASM;FMIND5R32-Z;FMIND5R32-BLU;3;4
CROSS;FMIND5R32-Z;FMIND5R32-BLA;1;2
ASM;FMIND5R32-Z;FMIND5R32-RED;2;1
ASM;FMINDBOC-Z;;;1
ASM;FMINDBOC-Z;FMINDBOC-BLU;0;1
ASM;FMIND15-Z;FMIND15-BLA;0;2
ASM;FMIND15-Z;FMIND15-BLU;1;1
ASM;FMINDST250-Z;FMINDST250-BLU;-1;1
CROSS;FMACVAG01-Z;FMACVAG01;3;6
