Supplier;Manufacturer;SKU;Name;VAT;Price;Purchase;Width;Height;Depth;Weight;Discount;Tags;"Meta title";"Meta Tags";URL
;;WKE259M775;;7;751.73;338.27;27.000000;15.000000;14.000000;1.900000;;", WKE259MXX-Z, WKE259M775";;", WKE259MXX-Z, WKE259M775";wke259m775
;;WKE259M77;;7;751.73;338.27;27.000000;15.000000;14.000000;1.900000;;", WKE259MXX-Z, WKE259M77";;", WKE259MXX-Z, WKE259M77";wke259m77
;;WKE146M88;;7;915.97;485.46;20.000000;23.000000;11.000000;2.300000;;", WKE146M8XX-Z, WKE146M88";;", WKE146M8XX-Z, WKE146M88";wke146m88
;;WKE146M885;;7;915.97;485.46;20.000000;23.000000;11.000000;2.300000;;", WKE146M8XX-Z, WKE146M885";;", WKE146M8XX-Z, WKE146M885";wke146m885
;;WKE146M875;;7;915.97;485.46;20.000000;23.000000;11.000000;2.300000;;", WKE146M8XX-Z, WKE146M875";;", WKE146M8XX-Z, WKE146M875";wke146m875
;;WKE150M795AP;;7;831.00;390.57;20.000000;23.000000;11.000000;2.000000;;", WKE150MXXAP-Z, WKE150M795AP";;", WKE150MXXAP-Z, WKE150M795AP";wke150m795ap
;;WKE150M80AP;;7;831.00;390.57;20.000000;23.000000;11.000000;2.000000;;", WKE150MXXAP-Z, WKE150M80AP";;", WKE150MXXAP-Z, WKE150M80AP";wke150m80ap
;;WKE150M79AP;;7;831.00;390.57;20.000000;23.000000;11.000000;2.000000;;", WKE150MXXAP-Z, WKE150M79AP";;", WKE150MXXAP-Z, WKE150M79AP";wke150m79ap
;;WKE365M795;;7;726.57;326.96;23.000000;20.000000;11.000000;2.000000;;", WKE365MXX-Z, WKE365M795";;", WKE365MXX-Z, WKE365M795";wke365m795
;;WKE365M80;;7;726.57;326.96;23.000000;20.000000;11.000000;2.000000;;", WKE365MXX-Z, WKE365M80";;", WKE365MXX-Z, WKE365M80";wke365m80
;;WKE365M79;;7;726.57;326.96;23.000000;20.000000;11.000000;2.000000;;", WKE365MXX-Z, WKE365M79";;", WKE365MXX-Z, WKE365M79";wke365m79
;;WK651M865;;7;676.37;358.48;23.000000;21.000000;11.000000;2.400000;;", WK651M86-Z, WK651M865";;", WK651M86-Z, WK651M865";wk651m865
;;WK651M86;;7;676.37;358.48;23.000000;21.000000;11.000000;2.400000;;", WK651M86-Z, WK651M86";;", WK651M86-Z, WK651M86";wk651m86
;;WKE359M775;;7;915.97;439.67;22.000000;22.000000;22.000000;2.380000;;", WKE359MXX-Z, WKE359M775";;", WKE359MXX-Z, WKE359M775";wke359m775
;;WKE359M77;;7;915.97;439.67;22.000000;22.000000;22.000000;2.380000;;", WKE359MXX-Z, WKE359M77";;", WKE359MXX-Z, WKE359M77";wke359m77
;;K742M85;;7;1063.40;478.53;47.000000;37.000000;17.000000;4.000000;;", K742M84x-Z, K742M85";;", K742M84x-Z, K742M85";k742m85
;;K742M845;;7;1063.40;478.53;47.000000;37.000000;17.000000;4.000000;;", K742M84x-Z, K742M845";;", K742M84x-Z, K742M845";k742m845
;;K742M84;;7;1063.40;478.53;47.000000;37.000000;17.000000;4.000000;;", K742M84x-Z, K742M84";;", K742M84x-Z, K742M84";k742m84
