ID;SUPPLIER;"CARRIER NAME";INVOICE;"INVOICE NUMBER";"READY DATE";"VALIDATION DATE";"SHIPPING QUOTE";"PACKING LIST";"CUSTOMS DOCS";TRACKING;STATUS;id_claim;"PICKING DATE";CARRIER;INCOTERM;ROUTE;FREIGHT;"CUSTOMS CLEAR";"IMPORT DUTIES";"1º DELAY DATE";"2º DELAY DATE";"3º DELAY DATE";"4º DELAY DATE";"5º DELAY DATE";"6º DELAY DATE";"DELIVERY DATE";COMMENTS
54;97;MAERSK;;;2025-01-24;;;0;0;;4;;;9;EXW;;0.00;0.00;0.00;;;;;;;0000-00-00;
76;66;UPS;;010170;2025-03-19;2025-03-19;108.81;1;1;1Z72794R8611693262;4;;2025-03-20;19;EXW;AIR;108.81;0.00;0.00;2025-01-25;;;;;;0000-00-00;
373;51;UNKNOWN;;;2025-05-21;;;0;0;;4;;;0;EXW;;0.00;0.00;0.00;;;;;;;0000-00-00;"Supplier is Keeup (see email)"
399;81;UNKNOWN;;;2025-06-13;;;0;0;;4;;;0;EXW;;0.00;0.00;0.00;;;;;;;0000-00-00;
403;27;UNKNOWN;;N;2025-06-11;;;0;0;;4;;;0;DDP;;0.00;0.00;0.00;;;;;;;0000-00-00;
436;49;UPS;1039.43;149281;2025-07-15;2025-07-14;;2;1;1Z72794R6819142895;4;;2025-07-15;19;EXW;LAND;113.88;18.70;0.00;0001-01-01;2025-07-29;2025-07-23;2025-07-22;2025-07-21;;0000-00-00;"29G6L28IO9I Aberta investigação (caixa perdida)

Enviei formulário de reclamação 06/08"
441;37;UNKNOWN;;;2025-07-21;;;0;0;;4;;;0;EXW;;0.00;0.00;0.00;;;;;;;0000-00-00;
466;82;UNKNOWN;3887.46;03205/.../03214;2025-08-21;;;0;0;;4;;;0;EXW;;0.00;0.00;0.00;;;;;;;0000-00-00;
529;13;UNKNOWN;65581.80;21972;2025-10-17;;;0;0;;4;;;0;EXW;;0.00;0.00;0.00;;;;;;;0000-00-00;
567;88;"SENT BY SUPPLIER";13171.63;19130;2025-11-06;2025-11-06;1.00;2;1;N/A;4;;2025-11-07;21;DDP;LAND;0.00;0.00;0.00;;;;;;;2025-11-07;
593;88;UNKNOWN;;NL/WZ#11829;2025-12-10;;;0;0;;4;;;0;EXW;;0.00;0.00;0.00;;;;;;;0000-00-00;
620;23;UPS;390.00;"EXPRESS AC-300-CP x60";2026-01-16;2026-01-15;134.97;2;0;1Z72794R8601662617;4;;2026-01-16;19;EXW;AIR;116.27;18.70;0.00;2026-02-03;2026-01-30;2026-01-27;2026-01-23;2026-01-21;;2026-01-27;"No.12 Zhongyuan Road, Shifeng Street, Tiantai County, Taizhou City, China, 317200.
Simon Xi
15168135172

29XE9EI5NFQ
292EFIHD232
29DEKG1R231
29REMHQ2KG8"
625;25;UNKNOWN;;;2026-01-26;;;0;0;;4;;;0;EXW;;0.00;0.00;0.00;;;;;;;0000-00-00;"WAITING FOR PAYMENT"
639;56;UNKNOWN;;;2026-02-13;;;0;0;;4;;;0;EXW;;0.00;0.00;0.00;;;;;;;0000-00-00;
