ID;SUPPLIER;"CARRIER NAME";INVOICE;"INVOICE NUMBER";"READY DATE";"VALIDATION DATE";"SHIPPING QUOTE";"PACKING LIST";"CUSTOMS DOCS";TRACKING;STATUS;id_claim;"PICKING DATE";CARRIER;INCOTERM;ROUTE;FREIGHT;"CUSTOMS CLEAR";"IMPORT DUTIES";"DELIVERY DATE";COMMENTS
14;82;Torrestir;;;2025-03-19;2025-03-19;94.00;2;2;;2;;2025-03-21;17;EXW;LAND;94.00;0.00;0.00;2025-03-27;
44;87;MAINFREIGHT;99852.61;24-07258;2024-12-12;2024-12-12;896.36;1;1;QTM08060;2;;2025-01-09;10;EXW;SEA_LCL;896.36;0.00;0.00;2025-04-10;
45;113;MAINFREIGHT;13671.19;ASK25-001;2024-11-27;2024-12-11;1344.54;1;1;QTM08060;2;;2025-01-09;10;EXW;SEA_LCL;1344.54;0.00;0.00;2025-04-10;
46;29;MAINFREIGHT;5810514.00;234320;2025-01-08;2025-01-13;2906.00;1;1;QTM08171;2;;2025-01-20;10;EXW;SEA_LCL;2906.00;0.00;0.00;2025-03-24;
48;56;Transitex;69516.00;24PRP9004-3;2025-01-10;2025-01-11;4435.00;1;1;NBYK25011477;2;;2025-01-21;18;EXW;SEA_FCL;4435.00;0.00;0.00;2025-04-15;
51;54;Transitex;29927.00;G240705W;2025-01-10;2025-01-10;4643.00;1;1;NBYK25011476;2;;2025-01-21;18;EXW;SEA_FCL;4643.00;0.00;0.00;2025-03-18;
55;17;"ALL WAYS CARGO";69930.00;#INV10121954;2025-01-17;;;0;0;TCLU7289629;2;;2025-01-17;2;DDP;SEA_FCL;0.00;0.00;0.00;2025-03-20;
59;116;Transitex;104570.43;2024LPTD1;2025-01-10;2025-01-10;6735.00;1;1;NBYK25011475;2;;2025-01-21;18;EXW;SEA_FCL;6735.00;0.00;0.00;0000-00-00;
64;116;Transitex;38880.75;2024LPTD1-20GP;2025-01-24;;4413.00;1;1;EGLV142500249515;2;;2025-02-12;18;EXW;SEA_FCL;4413.00;0.00;0.00;0000-00-00;
68;84;MAINFREIGHT;19731.04;20241208-2-2;2025-02-17;2025-02-21;1605.00;1;1;17610052172;2;;2025-03-06;10;EXW;SEA_LCL;1605.00;0.00;0.00;0000-00-00;
74;75;DHL;12732.00;250306(1483640);2025-02-21;2025-02-21;332.06;1;1;32250354;2;;2025-03-27;22;FOB;SEA_LCL;332.60;0.00;0.00;0000-00-00;
75;87;DHL;9825.46;24-7258;2025-02-26;2025-02-21;642.30;1;1;32250358;2;;2025-03-21;22;FOB;SEA_LCL;642.30;0.00;0.00;0000-00-00;
76;66;UPS;;010170;2025-03-19;2025-03-19;108.81;0;0;1Z72794R8611693262;2;;2025-03-20;19;EXW;AIR;108.81;0.00;0.00;0000-00-00;
77;108;DHL;12713.00;20250320;2025-03-18;2024-02-21;998.00;1;1;32250359;2;;2025-03-27;22;FCA;SEA_LCL;998.00;0.00;0.00;0000-00-00;
78;74;MAINFREIGHT;21265.80;ASD2024002-ARM;2025-02-19;2025-02-21;1300.00;1;1;TPE25030046;2;;2025-02-28;10;EXW;SEA_LCL;1300.00;0.00;0.00;0000-00-00;
79;29;DHL;40322.06;237177;2025-02-25;2025-02-28;2013.00;0;0;LAX-00011423;2;;2025-03-10;22;EXW;SEA_LCL;2013.00;0.00;0.00;0000-00-00;
80;113;DHL;13784.10;;2025-02-28;2025-02-28;962.00;0;0;S2501155712;2;;2025-03-12;22;EXW;SEA_LCL;0.00;0.00;0.00;0000-00-00;
90;99;DHL;3767.00;;2025-03-05;2025-03-10;115.00;2;2;00037484268;2;;2025-03-21;22;EXW;LAND;115.00;0.00;0.00;0000-00-00;
96;9;UPS;2434.80;;2025-03-12;2025-03-12;41.93;1;1;1Z72794R9112444297;2;;2025-03-13;19;EXW;LAND;41.93;0.00;0.00;0000-00-00;
98;49;UPS;1253.77;;2025-03-14;2025-03-14;61.88;1;1;1Z72794R9131032491;2;;2025-03-18;19;EXW;LAND;0.00;0.00;0.00;0000-00-00;
99;56;UPS;2554.67;;2025-03-14;2025-03-14;298.77;1;1;1Z72794R8633765910;2;;2025-03-17;19;EXW;AIR;298.77;0.00;0.00;0000-00-00;
100;13;Torrestir;80868.00;INV20530;2025-03-14;2025-03-14;985.00;1;1;;2;;2025-03-18;17;EXW;LAND;985.00;0.00;0.00;2025-03-25;
111;11;"SENT BY SUPPLIER";;45326;2025-03-19;2025-03-19;;0;0;1ZB796Y36726747951;2;;2025-03-19;21;DDP;AIR;0.00;0.00;0.00;2025-03-25;
112;66;"SENT BY SUPPLIER";6056.65;DW-I026927;2025-03-19;2025-03-19;;1;1;1ZRX11586747626049;2;;2025-03-25;21;CPT;AIR;0.00;0.00;0.00;0000-00-00;
