ID;SUPPLIER;"CARRIER NAME";INVOICE;"INVOICE NUMBER";"READY DATE";"VALIDATION DATE";"SHIPPING QUOTE";"PACKING LIST";"CUSTOMS DOCS";TRACKING;STATUS;id_claim;"PICKING DATE";CARRIER;INCOTERM;ROUTE;FREIGHT;"CUSTOMS CLEAR";"IMPORT DUTIES";"1º DELAY DATE";"2º DELAY DATE";"3º DELAY DATE";"4º DELAY DATE";"5º DELAY DATE";"DELIVERY DATE";COMMENTS
14;82;TORRESTIR;3644.44;911/912/913/914/915/916/917;2025-03-19;2025-03-19;94.00;1;1;25A018;2;;2025-03-21;17;EXW;LAND;94.00;0.00;0.00;;;;;;0000-00-00;
44;87;MAINFREIGHT;99852.61;24-07258;2024-12-12;2024-12-12;896.36;1;1;QTM08060;2;;2025-01-09;10;EXW;SEA_LCL;896.36;0.00;0.00;;;;;;0000-00-00;
45;113;MAINFREIGHT;13671.19;ASK25-001;2024-11-27;2024-12-11;1344.54;1;1;QTM08060;2;;2025-01-09;10;EXW;SEA_LCL;1344.54;0.00;0.00;;;;;;0000-00-00;
46;29;MAINFREIGHT;5810514.00;234320;2025-01-08;2025-01-13;2906.00;1;1;QTM08171;2;;2025-01-20;10;EXW;SEA_LCL;2906.00;0.00;0.00;;;;;;0000-00-00;
48;56;TRANSITEX;69516.00;24PRP9004-3;2025-01-10;2025-01-11;4435.00;1;1;NBYK25011477;2;;2025-01-21;18;EXW;SEA_FCL;4435.00;0.00;0.00;;;;;;0000-00-00;
51;54;TRANSITEX;29927.00;G240705W;2025-01-10;2025-01-10;4643.00;1;1;NBYK25011476;2;;2025-01-21;18;EXW;SEA_FCL;4643.00;0.00;0.00;;;;;;0000-00-00;
55;17;"ALL WAYS CARGO";69930.00;#INV10121954;2025-01-17;;;0;0;TCLU7289629;2;;2025-01-17;2;DDP;SEA_FCL;0.00;0.00;0.00;;;;;;2025-03-20;
59;116;TRANSITEX;104570.43;2024LPTD1;2025-01-10;2025-01-10;6735.00;1;1;NBYK25011475;2;;2025-01-21;18;EXW;SEA_FCL;6735.00;0.00;0.00;;;;;;0000-00-00;
64;116;TRANSITEX;38880.75;2024LPTD1-20GP;2025-01-24;;4413.00;1;1;EGLV142500249515;2;;2025-02-12;18;EXW;SEA_FCL;4413.00;0.00;0.00;;;;;;0000-00-00;
68;84;MAINFREIGHT;19731.04;20241208-2-2;2025-02-17;2025-02-21;1605.00;1;1;17610052172;2;;2025-03-06;10;EXW;SEA_LCL;1605.00;0.00;0.00;;;;;;0000-00-00;
74;75;DHL;12732.00;250306(1483640);2025-02-21;2025-02-21;332.06;1;1;32250354;2;;2025-03-27;22;FOB;SEA_LCL;332.60;0.00;0.00;;;;;;0000-00-00;
75;87;DHL;9825.46;24-7258;2025-02-26;2025-02-21;642.30;1;1;32250358;2;;2025-03-21;22;FOB;SEA_LCL;642.30;0.00;0.00;;;;;;0000-00-00;
77;108;DHL;12713.00;20250320;2025-03-18;2024-02-21;998.00;1;1;32250359;2;;2025-03-27;22;FCA;SEA_LCL;998.00;0.00;0.00;;;;;;0000-00-00;
78;74;MAINFREIGHT;21265.80;ASD2024002-ARM;2025-02-19;2025-02-21;1300.00;1;1;TPE25030046;2;;2025-02-28;10;EXW;SEA_LCL;1300.00;0.00;0.00;;;;;;0000-00-00;
79;29;DHL;40322.06;237177;2025-02-25;2025-02-28;2013.00;1;1;LAX-00011423;2;;2025-03-10;22;EXW;SEA_LCL;2013.00;0.00;0.00;;;;;;0000-00-00;
80;113;DHL;13784.10;;2025-02-28;2025-02-28;962.00;1;1;S2501155712;2;;2025-03-12;22;EXW;SEA_LCL;0.00;0.00;0.00;;;;;;0000-00-00;
116;106;DHL;;240155;2025-03-26;2025-03-25;797.25;1;1;;2;;2025-04-03;22;EXW;SEA_LCL;0.00;0.00;0.00;;;;;;2025-06-25;
193;29;DHL;;240662;2025-03-31;2025-03-25;1960.00;1;1;;2;;2025-04-07;22;EXW;SEA_LCL;1895.00;65.00;0.00;;;;;;0000-00-00;
274;13;TNT;34168.20;INV-20610;2025-03-25;;569.12;1;1;122312135;2;;2025-03-27;16;EXW;LAND;569.12;5.00;0.00;;;;;;0000-00-00;"LIS 874557
122312135"
306;17;UPS;1021.35;SO34596;2025-03-26;2025-03-27;57.27;0;0;1Z72794R9105337498;2;;2025-03-28;19;EXW;LAND;39.47;17.80;0.00;;;;;;0000-00-00;
308;97;MAERSK;;NA;2025-04-07;2025-03-27;2340.92;0;0;252015211;2;;2025-04-10;9;EXW;SEA_LCL;2280.95;65.00;0.00;;;;;;2025-06-16;
309;115;UPS;1358.00;1009;2025-03-27;2025-03-27;90.90;1;1;"1Z72794R8610254014/ 29GGQ9IL1EB";2;;2025-03-27;19;EXW;AIR;73.10;17.80;0.00;;;;;;2025-04-04;"VALUE IS 1358USD NOT 1503.82"
320;49;UPS;974.00;145392;2025-03-27;2025-03-28;105.17;1;1;1Z72794R9120163110;2;;2025-03-28;19;EXW;LAND;87.37;17.80;0.00;;;;;;0000-00-00;29B2SGOG8M7
336;81;TORRESTIR;;VARIOUS;2025-03-31;2025-04-01;200.00;2;2;R336;2;;2025-04-03;17;EXW;LAND;200.00;0.00;0.00;;;;;;0000-00-00;"Note for stacking small pallet on largest"
338;77;UPS;;ID/240325;2025-04-02;2025-04-02;37.16;2;2;"1Z72794R8606008280 / 294358PA70L";2;;2025-04-03;19;EXW;LAND;19.36;17.80;0.00;;;;;;0000-00-00;
339;10;TORRESTIR;4571.20;F20250932/0871;2025-04-02;2025-04-03;103.00;2;0;;2;;2025-04-04;17;EXW;LAND;103.00;0.00;0.00;;;;;;0000-00-00;"Opening hours for collection:
05.30 – 15.30hours"
