ID;SUPPLIER;"CARRIER NAME";INVOICE;"INVOICE NUMBER";"READY DATE";"VALIDATION DATE";"SHIPPING QUOTE";"PACKING LIST";"CUSTOMS DOCS";TRACKING;STATUS;id_claim;"PICKING DATE";CARRIER;INCOTERM;ROUTE;FREIGHT;"CUSTOMS CLEAR";"IMPORT DUTIES";"1º DELAY DATE";"2º DELAY DATE";"3º DELAY DATE";"4º DELAY DATE";"5º DELAY DATE";"6º DELAY DATE";"DELIVERY DATE";COMMENTS
74;75;DHL;12732.00;250306(1483640);2025-02-21;2025-02-21;368.14;1;1;32250354;2;;2025-03-27;22;FOB;SEA_LCL;303.14;65.00;0.00;2025-07-07;2025-06-18;2025-05-28;;;;0000-00-00;"N/Ref.: S2501302264

HBL: OSAA33115
Navio: ACX DIAMOND
ETD Kobe: 10/04/2025
ETA Oporto: 13/06/2025"
75;87;DHL;9825.46;24-7258;2025-02-26;2025-02-21;642.30;1;1;32250358;2;;2025-03-21;22;FOB;SEA_LCL;642.30;0.00;0.00;2025-07-07;2025-06-18;2025-06-18;2025-05-28;;;0000-00-00;"N/Ref.: S2501302767
HBL: OSAA33080
Navio: Bright Tsubaki
ETD Kobe: 04/04/2025
ETA Oporto: 13/06/2025"
77;108;DHL;12713.00;20250320;2025-03-18;2024-02-21;998.00;1;1;32250359;2;;2025-03-27;22;FCA;SEA_LCL;998.00;0.00;0.00;2025-07-07;2025-06-18;2025-05-28;;;;0000-00-00;
80;113;DHL;13784.10;;2025-02-28;2025-02-28;911.44;1;1;S2501155712;2;;2025-03-12;22;EXW;SEA_LCL;846.44;65.00;0.00;2025-07-07;2025-06-16;2025-05-30;;;;0000-00-00;"N/Ref.: S2501155712

HBL: OSAA32962
Navio: Bright Tsubaki
ETD Kobe: 04/04/2025
ETA Oporto: 13/06/2025"
116;106;DHL;5086.79;240155/230085-2;2025-03-26;2025-03-25;862.25;1;1;S2501440400;2;;2025-04-03;22;EXW;SEA_LCL;797.25;65.00;0.00;2025-08-04;2025-07-10;2025-06-25;;;;2025-06-25;"HBL: TYOA67407
Navio: VENETIA
ETD Yokohama: 27/04
ETA Singapura: 07/05
ETA Barcelona: 18/06
ETA Porto: 30/06"
193;29;DHL;48499.59;240662;2025-03-31;2025-03-25;1943.00;1;1;YVRA07793;2;;2025-04-07;22;EXW;SEA_LCL;1878.00;65.00;0.00;2025-06-11;2025-06-19;2024-06-25;;;;0000-00-00;S2501437019
308;97;MAERSK;107201.21;"32725, HOL/130225, HOL/280225";2025-04-07;2025-03-27;2340.92;1;1;252015211;2;;2025-04-10;9;EXW;SEA_LCL;2280.95;65.00;0.00;2025-06-20;2025-06-16;2024-04-16;;;;0001-01-01;
351;29;DHL;40847.30;244430;2025-04-17;2025-04-22;1343.97;0;0;S2501950669;2;;2025-04-30;22;EXW;SEA_LCL;1278.97;65.00;0.00;2025-07-11;2025-06-23;;;;;0000-00-00;"Pedida Cotação 21/04 
Verificar valor fatura"
374;95;TORRESTIR;8907.71;KP25032602;2025-05-20;2025-05-22;1070.00;0;1;P16/41/10264;2;;2025-06-02;17;EXW;SEA_LCL;1005.00;65.00;0.00;2025-07-31;;;;;;0000-00-00;"Goodies KEEUP"
380;17;"SENT BY SUPPLIER";56348.77;SO43760;2025-04-03;2025-04-03;290.00;1;1;10878390;2;;2025-04-03;21;DAP;SEA_LCL;290.00;0.00;0.00;2025-06-20;2025-06-12;;;;;0000-00-00;"CHEGADA DIA 15 A LISBOA
290€ ENTREGA DE LISBOA A VALENÇA"
382;88;TORRESTIR;8277.66;NL/PRO#136795;2025-05-30;2025-06-02;;0;0;TTRANS_020625_084221;2;;2025-06-05;17;EXW;LAND;146.37;0.00;0.00;2025-06-12;2025-06-12;2025-06-09;;;;0000-00-00;
384;68;DHL;;48743;2025-06-06;2025-06-04;;0;0;SPOT_LIS_19719;2;;2025-06-06;22;EXW;;769.45;65.00;0.00;2025-06-16;;;;;;0000-00-00;"COTAÇÃO SOLICITADA AEREO E MARITIMO"
387;111;UPS;2729.00;PTAL008+PTAL009;2025-06-02;2025-06-04;505.41;0;0;1Z72794R8615635326;2;;2025-06-06;19;EXW;AIR;486.71;18.70;0.00;2025-06-09;;;;;;0000-00-00;
388;26;UPS;181.39;147207;2025-06-10;2025-06-04;54.91;0;0;1Z72794R9107889531;2;;2025-06-05;19;EXW;;36.21;18.70;0.00;2025-06-16;;;;;;0000-00-00;"29V5AHSHDI5
2925CG40EHS"
389;29;DHL;;247679;2025-06-09;2025-06-04;;0;0;SPOT_LIS_19750;2;;2025-06-12;22;EXW;;2064.06;65.00;0.00;;;;;;;0000-00-00;
390;112;TORRESTIR;;;2025-06-04;2025-06-04;;0;0;TTRANS_050625_084637;2;;2025-06-06;17;EXW;;110.00;0.00;0.00;;;;;;;0000-00-00;
393;80;DPD;;;2025-06-06;2025-06-05;;0;0;052860003949987;2;;2025-06-06;5;EXW;LAND;0.00;0.00;0.00;2025-06-12;;;;;;0000-00-00;
395;110;"SENT BY SUPPLIER";3290.95;"1541919 1542175";2025-06-06;2025-06-06;1.00;1;1;N/A;2;;2025-06-06;21;DDP;LAND;0.00;0.00;0.00;2025-06-24;;;;;;0000-00-00;dachser
